epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,21.551,2.14281,5.58859,2.15141,0.0446,0.02299,0.02639,0.00964,2.59739,4.92227,2.56643,0.000988889,0.00032963,0.000988889,0.00032963,0.000988889,0.00032963,0.000988889,0.00032963
2,36.3364,1.84225,3.13884,1.90873,0.47436,0.18357,0.22508,0.09612,2.05278,2.87901,2.18834,0.00189044,0.000630146,0.00189044,0.000630146,0.00189044,0.000630146,0.00189044,0.000630146
3,49.2624,1.639,2.2568,1.70525,0.57997,0.33348,0.36962,0.17144,1.83973,2.29258,2.02467,0.00269299,0.000897663,0.00269299,0.000897663,0.00269299,0.000897663,0.00269299,0.000897663
4,61.7334,1.55637,1.93354,1.62412,0.49803,0.4734,0.46249,0.21449,1.86598,1.87258,1.95177,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
5,74.3802,1.4849,1.72263,1.56443,0.57696,0.52669,0.58377,0.27919,1.68039,1.62243,1.83991,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
6,86.7879,1.43602,1.60267,1.53536,0.73461,0.51162,0.60596,0.29339,1.64821,1.57967,1.77801,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
7,99.3368,1.41207,1.49844,1.50603,0.63616,0.63983,0.68699,0.34031,1.56794,1.44148,1.75716,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
8,111.669,1.38361,1.48117,1.48424,0.62803,0.65211,0.69258,0.34561,1.59227,1.44636,1.74862,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
9,124.131,1.3854,1.44761,1.50046,0.63303,0.66025,0.70414,0.34335,1.57205,1.39694,1.76448,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
10,136.371,1.35579,1.35482,1.46041,0.6534,0.65912,0.71782,0.36668,1.55469,1.34819,1.74195,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
11,150.246,1.43046,1.40188,1.56001,0.64849,0.60967,0.67771,0.3287,1.63092,1.41595,1.78543,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
12,162.394,1.3972,1.34628,1.53266,0.70148,0.65143,0.73768,0.37093,1.53526,1.34367,1.72579,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
13,174.665,1.37011,1.28629,1.52419,0.6483,0.64305,0.70234,0.35404,1.57484,1.34875,1.72562,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
14,186.674,1.35823,1.26624,1.52276,0.65285,0.68978,0.7226,0.36303,1.56405,1.30917,1.71571,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
15,198.753,1.34181,1.2142,1.51055,0.68932,0.67301,0.73104,0.37874,1.55685,1.28689,1.72719,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
16,210.907,1.32584,1.2017,1.50966,0.66694,0.65788,0.71375,0.36062,1.55279,1.34871,1.71467,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
17,223.105,1.30689,1.17016,1.4828,0.67269,0.68776,0.73991,0.3799,1.55787,1.27971,1.70678,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
18,235.426,1.29839,1.14829,1.4654,0.66385,0.67877,0.72784,0.37427,1.56312,1.28233,1.71714,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
19,247.72,1.28222,1.13264,1.45984,0.71752,0.63913,0.73841,0.38361,1.54363,1.26776,1.70377,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
20,259.918,1.27771,1.1281,1.46134,0.68197,0.67296,0.73991,0.38279,1.54853,1.27368,1.70286,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
