epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0682,1.99247,3.9424,2.13968,0.17399,0.31859,0.14866,0.0493,2.85026,3.35512,3.49284,0.000329932,0.000329932,0.000329932
2,67.7645,1.81578,2.19586,1.99436,0.20357,0.34787,0.18197,0.05762,2.77757,3.97296,2.8693,0.000656699,0.000656699,0.000656699
3,87.0031,1.82074,2.11772,2.0054,0.61964,0.18559,0.1157,0.03932,2.68379,4.30287,2.94051,0.000976866,0.000976866,0.000976866
4,106.172,1.79952,1.99721,1.97536,0.37587,0.24045,0.18995,0.06754,2.58454,2.55516,2.91548,0.0009703,0.0009703,0.0009703
5,125.269,1.77752,1.9506,1.961,0.24509,0.16236,0.107,0.03485,2.96274,3.47193,3.17626,0.0009604,0.0009604,0.0009604
6,144.307,1.71924,1.89845,1.92687,0.51081,0.4663,0.41266,0.1615,2.16584,2.08293,2.39082,0.0009505,0.0009505,0.0009505
7,163.377,1.71499,1.88386,1.91621,0.60972,0.23682,0.23515,0.10411,2.27098,2.69644,2.47234,0.0009406,0.0009406,0.0009406
8,182.404,1.68424,1.82949,1.88869,0.3772,0.50319,0.39865,0.1538,1.98848,2.08957,2.26549,0.0009307,0.0009307,0.0009307
9,201.459,1.64906,1.78839,1.85927,0.52612,0.42239,0.46206,0.17742,2.01514,1.97539,2.26641,0.0009208,0.0009208,0.0009208
10,220.522,1.65656,1.72442,1.86656,0.45453,0.47036,0.46623,0.16306,2.10983,2.06105,2.35965,0.0009109,0.0009109,0.0009109
11,239.556,1.68607,1.80643,1.87955,0.54767,0.39052,0.38052,0.13253,2.15458,2.27031,2.43323,0.000901,0.000901,0.000901
12,258.629,1.62776,1.72615,1.84034,0.5768,0.31036,0.36646,0.14176,2.25126,2.33637,2.51598,0.0008911,0.0008911,0.0008911
13,277.755,1.61359,1.75511,1.83827,0.38253,0.45551,0.44247,0.18621,1.95266,1.8986,2.2446,0.0008812,0.0008812,0.0008812
14,296.722,1.58011,1.69658,1.80261,0.55492,0.39063,0.44458,0.19013,2.01107,2.00557,2.26094,0.0008713,0.0008713,0.0008713
15,315.793,1.57531,1.62307,1.81179,0.33686,0.49842,0.43151,0.18052,2.00523,1.99507,2.25847,0.0008614,0.0008614,0.0008614
16,334.866,1.55614,1.59886,1.767,0.58268,0.48879,0.4827,0.19624,1.9043,1.92396,2.19978,0.0008515,0.0008515,0.0008515
17,353.988,1.55898,1.62738,1.79597,0.42066,0.54914,0.47981,0.203,1.88852,1.84788,2.15915,0.0008416,0.0008416,0.0008416
18,373.155,1.54564,1.59889,1.78588,0.54196,0.58668,0.58733,0.26074,1.78807,1.69247,2.14952,0.0008317,0.0008317,0.0008317
19,392.222,1.50887,1.53645,1.73943,0.47678,0.58832,0.55053,0.23802,1.85939,1.7585,2.1037,0.0008218,0.0008218,0.0008218
20,411.46,1.52484,1.55595,1.76106,0.37192,0.51061,0.44017,0.18936,1.94698,1.99455,2.35545,0.0008119,0.0008119,0.0008119
21,430.582,1.50754,1.52239,1.75414,0.57781,0.57322,0.59079,0.26785,1.75402,1.6417,2.06086,0.000802,0.000802,0.000802
22,449.805,1.49235,1.48762,1.72149,0.56649,0.55377,0.60084,0.26762,1.80376,1.69072,2.08711,0.0007921,0.0007921,0.0007921
